time,node,timestamp,result,channel,duration
695664,14,414.0,coll,1,2700
695682,6,153.0,coll,1,2700
695682,9,261.0,coll,1,2700
695700,7,72.0,coll,1,2700
695700,13,126.0,coll,1,2700
695718,11,306.0,succ,1,2700
698427,5,63.0,succ,1,2700
701145,8,189.0,coll,1,2700
701145,13,162.0,coll,1,2700
701145,14,468.0,coll,1,2700
701172,10,117.0,coll,1,2700
701172,12,171.0,coll,1,2700
701208,13,207.0,succ,1,2700
703917,7,162.0,coll,1,2700
703917,8,243.0,coll,1,2700
703917,9,360.0,coll,1,2700
703944,6,270.0,succ,1,2700
706653,8,270.0,succ,1,2700
709362,5,108.0,succ,1,2700
712071,10,198.0,coll,1,2700
712071,11,126.0,coll,1,2700
712071,14,567.0,coll,1,2700
712080,11,126.0,succ,1,2700
714789,6,36.0,coll,1,2700
714789,12,261.0,coll,1,2700
714807,9,423.0,coll,1,2700
714807,13,72.0,coll,1,2700
714816,9,423.0,succ,1,2700
717534,12,288.0,succ,1,2700
720243,13,99.0,succ,1,2700
722952,7,261.0,coll,1,2700
722952,10,252.0,coll,1,2700
722979,9,54.0,succ,1,2700
725706,5,108.0,coll,1,2700
725706,6,126.0,coll,1,2700
725706,11,99.0,coll,1,2700
725724,11,108.0,coll,1,2700
725724,14,675.0,coll,1,2700
725742,8,135.0,coll,1,2700
725742,10,315.0,coll,1,2700
725769,5,144.0,succ,1,2700
728478,5,9.0,coll,1,2700
728478,13,99.0,coll,1,2700
728496,8,171.0,coll,1,2700
728496,13,108.0,coll,1,2700
728514,13,117.0,succ,1,2700
731223,12,135.0,succ,1,2700
733932,7,387.0,succ,1,2700
736641,14,756.0,succ,1,2700
739359,5,72.0,coll,1,2700
739359,9,135.0,coll,1,2700
739359,13,45.0,coll,1,2700
739377,6,243.0,coll,1,2700
739377,10,414.0,coll,1,2700
739386,10,414.0,succ,1,2700
742095,6,252.0,coll,1,2700
742095,10,9.0,coll,1,2700
742113,8,252.0,coll,1,2700
742113,9,162.0,coll,1,2700
742113,11,234.0,coll,1,2700
742113,13,72.0,coll,1,2700
742140,12,81.0,succ,1,2700
744849,14,72.0,succ,1,2700
747558,5,135.0,succ,1,2700
750276,10,72.0,coll,1,2700
750276,11,288.0,coll,1,2700
750276,12,36.0,coll,1,2700
750294,10,81.0,succ,1,2700
753003,7,126.0,succ,1,2700
755712,13,153.0,succ,1,2700
758421,5,54.0,coll,1,2700
758421,6,351.0,coll,1,2700
758421,7,18.0,coll,1,2700
758421,9,252.0,coll,1,2700
758439,14,72.0,succ,1,2700
761157,7,45.0,coll,1,2700
761157,8,369.0,coll,1,2700
761184,11,369.0,coll,1,2700
761184,13,54.0,coll,1,2700
761202,10,81.0,succ,1,2700
763920,13,81.0,succ,1,2700
766638,8,432.0,succ,1,2700
769338,8,0.0,succ,1,2700
772047,8,9.0,coll,1,2700
772047,12,171.0,coll,1,2700
772047,14,90.0,coll,1,2700
772065,5,162.0,coll,1,2700
772065,7,126.0,coll,1,2700
772065,9,360.0,coll,1,2700
772065,11,432.0,coll,1,2700
772065,12,180.0,coll,1,2700
772083,6,468.0,succ,1,2700
774810,7,162.0,coll,1,2700
774810,8,54.0,coll,1,2700
774810,9,396.0,coll,1,2700
774828,5,207.0,succ,1,2700
777537,6,45.0,succ,1,2700
780246,13,99.0,succ,1,2700
782955,10,126.0,succ,1,2700
785655,10,0.0,succ,1,2700
